"id","timestamp","location","aqi","pm25","pm10","co","so2","no2","o3"
"11566","2025-11-27 08:37:51.991144+00","Tra Vinh","74","21","25","262","5","12","40"
"11567","2025-11-27 08:37:54.586529+00","Tuyen Quang Province","105","37","43","413","10","13","39"
"11568","2025-11-27 08:37:57.104483+00","Vinh Long","68","18","26","224","4","14","42"
"11569","2025-11-27 08:38:01.075869+00","Vinh Phuc","79","24","26","273","6","9","53"
"11570","2025-11-27 09:28:53.070569+00","Ba Ria Vung Tau","79","24","38","264","3","10","66"
"11571","2025-11-27 09:28:55.304707+00","Bac Giang","76","22","39","316","9","16","26"
"11572","2025-11-27 09:28:57.532961+00","Bac Ninh","89","29","37","348","8","17","24"
"11573","2025-11-27 09:28:59.752159+00","Binh Dinh","63","16","38","200","4","7","38"
"11574","2025-11-27 09:29:01.993519+00","Binh Duong","68","18","26","237","4","14","44"
"11575","2025-11-27 09:29:04.275549+00","Can Tho","64","16","27","227","3","14","47"
"11576","2025-11-27 09:29:06.479289+00","Cao Bang","86","28","52","481","2","11","10"
"11577","2025-11-27 09:29:10.466038+00","Da Nang","80","24","45","246","4","6","70"
"11578","2025-11-27 09:29:12.688971+00","Gia Lai","75","22","28","302","4","21","53"
"11579","2025-11-27 09:29:14.977816+00","Ha Nam","99","34","46","292","7","15","43"
"11580","2025-11-27 09:29:17.214975+00","Ha Nam Province","82","26","33","275","8","14","44"
"11581","2025-11-27 09:29:19.463764+00","Ha Noi","77","23","38","216","5","10","48"
"11582","2025-11-27 09:29:21.700221+00","Hai Duong","80","25","39","298","9","16","30"
"11583","2025-11-27 09:29:23.939168+00","Hai Phong","62","15","41","199","7","6","45"
"11584","2025-11-27 09:29:27.60784+00","Ho Chi Minh","72","20","32","245","4","12","56"
"11585","2025-11-27 09:29:29.839647+00","Hanoi","143","52","70","299","8","16","40"
"11586","2025-11-27 09:29:32.057857+00","Hung Yen","88","29","48","328","7","16","31"
"11587","2025-11-27 09:29:34.273516+00","Hoa Binh Province","134","49","72","325","8","18","38"
"11588","2025-11-27 09:29:36.502748+00","Khanh Hoa","63","16","26","190","2","9","43"
"11589","2025-11-27 09:29:38.772472+00","Lam Dong","22","4","6","164","1","6","41"
"11590","2025-11-27 09:29:40.991229+00","Lang Son","69","19","47","232","6","4","30"
"11591","2025-11-27 09:29:43.217478+00","Lang Son Province","71","20","30","293","7","16","28"
"11592","2025-11-27 09:29:45.424687+00","Lao Cai","92","31","46","237","3","4","40"
"11593","2025-11-27 09:29:47.691932+00","Long An","80","25","30","280","6","18","47"
"11594","2025-11-27 09:29:49.919272+00","Nghe An","96","34","58","764","8","28","34"
"11595","2025-11-27 09:29:52.142376+00","Ninh Binh","77","23","37","219","5","9","47"
